,count,ratio,low_coverage,factor
2024-09-30,2,1.0,False,F_Growth
2024-10-31,2,1.0,False,F_Growth
2024-11-30,2,1.0,False,F_Growth
2024-12-31,2,1.0,False,F_Growth
2025-01-31,2,1.0,False,F_Growth
2025-02-28,2,1.0,False,F_Growth
2025-03-31,2,1.0,False,F_Growth
2025-04-30,2,1.0,False,F_Growth
2025-05-31,2,1.0,False,F_Growth
2025-06-30,2,1.0,False,F_Growth
2025-07-31,2,1.0,False,F_Growth
2025-08-31,2,1.0,False,F_Growth
2024-09-30,0,0.0,True,F_Inflation
2024-10-31,0,0.0,True,F_Inflation
2024-11-30,0,0.0,True,F_Inflation
2024-12-31,0,0.0,True,F_Inflation
2025-01-31,0,0.0,True,F_Inflation
2025-02-28,0,0.0,True,F_Inflation
2025-03-31,0,0.0,True,F_Inflation
2025-04-30,0,0.0,True,F_Inflation
2025-05-31,0,0.0,True,F_Inflation
2025-06-30,0,0.0,True,F_Inflation
2025-07-31,0,0.0,True,F_Inflation
2025-08-31,0,0.0,True,F_Inflation
2024-09-30,0,0.0,True,F_CreditRisk
2024-10-31,0,0.0,True,F_CreditRisk
2024-11-30,0,0.0,True,F_CreditRisk
2024-12-31,0,0.0,True,F_CreditRisk
2025-01-31,0,0.0,True,F_CreditRisk
2025-02-28,0,0.0,True,F_CreditRisk
2025-03-31,0,0.0,True,F_CreditRisk
2025-04-30,0,0.0,True,F_CreditRisk
2025-05-31,0,0.0,True,F_CreditRisk
2025-06-30,0,0.0,True,F_CreditRisk
2025-07-31,0,0.0,True,F_CreditRisk
2025-08-31,0,0.0,True,F_CreditRisk
2024-09-30,0,0.0,True,F_Housing
2024-10-31,0,0.0,True,F_Housing
2024-11-30,0,0.0,True,F_Housing
2024-12-31,0,0.0,True,F_Housing
2025-01-31,0,0.0,True,F_Housing
2025-02-28,0,0.0,True,F_Housing
2025-03-31,0,0.0,True,F_Housing
2025-04-30,0,0.0,True,F_Housing
2025-05-31,0,0.0,True,F_Housing
2025-06-30,0,0.0,True,F_Housing
2025-07-31,0,0.0,True,F_Housing
2025-08-31,0,0.0,True,F_Housing
2024-09-30,3,1.0,False,F_External
2024-10-31,3,1.0,False,F_External
2024-11-30,3,1.0,False,F_External
2024-12-31,3,1.0,False,F_External
2025-01-31,3,1.0,False,F_External
2025-02-28,3,1.0,False,F_External
2025-03-31,3,1.0,False,F_External
2025-04-30,3,1.0,False,F_External
2025-05-31,3,1.0,False,F_External
2025-06-30,3,1.0,False,F_External
2025-07-31,3,1.0,False,F_External
2025-08-31,3,1.0,False,F_External
2024-09-30,2,0.6666666666666666,False,FinConditions_Composite
2024-10-31,2,0.6666666666666666,False,FinConditions_Composite
2024-11-30,2,0.6666666666666666,False,FinConditions_Composite
2024-12-31,2,0.6666666666666666,False,FinConditions_Composite
2025-01-31,2,0.6666666666666666,False,FinConditions_Composite
2025-02-28,2,0.6666666666666666,False,FinConditions_Composite
2025-03-31,2,0.6666666666666666,False,FinConditions_Composite
2025-04-30,2,0.6666666666666666,False,FinConditions_Composite
2025-05-31,2,0.6666666666666666,False,FinConditions_Composite
2025-06-30,2,0.6666666666666666,False,FinConditions_Composite
2025-07-31,2,0.6666666666666666,False,FinConditions_Composite
2025-08-31,2,0.6666666666666666,False,FinConditions_Composite
