label_set,asset,regime,mean,vol,sharpe,max_drawdown,anova_p,observations
Rule,SPX,Regime_3,0.00790788688077596,0.04253574856559289,0.1859115484609724,-0.5255585947031325,,427
Rule,NDX,Regime_3,0.013531879974817678,0.06758263588972516,0.2002271707321049,-0.810697967841101,,427
Rule,GOLD,Regime_3,0.009456299753001043,0.04655058942132256,0.20314027965174536,-0.42012575945959796,,300
Rule,US30Y_BOND_FUT,Regime_3,0.0009863061968479311,0.030389253878902924,0.03245575560289266,-0.3996228355906054,,299
Rule,US10Y_NOTE_FUT,Regime_3,0.0005261394711846524,0.01734179710788971,0.03033938569984096,-0.24205242610150546,,299
Rule,US5Y_NOTE_FUT,Regime_3,0.00032971733472529234,0.011115966093009765,0.02966159953768066,-0.1716427155599609,,299
Rule,BTC,Regime_3,0.0650972254062646,0.2105102116639918,0.30923547552253783,-0.7557435061741204,,131
KMeans,SPX,Regime_2,0.010953362126377843,0.03294193022860935,0.33250517047313416,-0.15843094218573706,0.4206565555611532,84
KMeans,SPX,Regime_0,0.007934167377528622,0.040419927791834044,0.19629345748439328,-0.41948137006219877,0.4206565555611532,186
KMeans,SPX,Regime_3,0.007983717207004208,0.0426056968589621,0.1873861430651576,-0.22333874330531578,0.4206565555611532,140
KMeans,SPX,Regime_1,-0.008052368336783342,0.08696667051887305,-0.09259142943773913,-0.3697571623790755,0.4206565555611532,17
KMeans,NDX,Regime_2,0.019784140619004846,0.05653329351110415,0.34995556406277456,-0.27637764062116565,0.7724527129533021,84
KMeans,NDX,Regime_0,0.01289170714908061,0.07276500593150513,0.17716905240433542,-0.7513447530838602,0.7724527129533021,186
KMeans,NDX,Regime_3,0.011693788278693388,0.06327817076713999,0.18479972061338268,-0.37020188138896737,0.7724527129533021,140
KMeans,NDX,Regime_1,0.0047798263826279,0.0932778130976042,0.05124290786734437,-0.29953030683348936,0.7724527129533021,17
KMeans,GOLD,Regime_0,0.010578386852146626,0.04836215578233053,0.21873274011518565,-0.3595296824796622,0.4862834740309697,143
KMeans,GOLD,Regime_3,0.006964257198420431,0.040989247042702584,0.16990449205288086,-0.25808955465349637,0.4862834740309697,140
KMeans,GOLD,Regime_1,0.020540270486146203,0.0703216972080049,0.2920900845921002,-0.18005035714502649,0.4862834740309697,17
KMeans,US30Y_BOND_FUT,Regime_0,0.004514293097384752,0.0259553447372428,0.17392537618301343,-0.15252837977296207,0.10382868512080255,142
KMeans,US30Y_BOND_FUT,Regime_3,-0.002997928370475591,0.03126039075400887,-0.09590182010412436,-0.44390874543081127,0.10382868512080255,140
